# Binding	Unbinding
3.282e+03 3.282e+03
3.209e+03 3.216e+03
3.327e+03 3.331e+03
3.183e+03 3.186e+03
3.357e+03 3.352e+03
3.389e+03 3.386e+03
3.243e+03 3.246e+03
3.199e+03 3.204e+03
3.293e+03 3.288e+03
3.221e+03 3.231e+03
3.203e+03 3.200e+03
3.278e+03 3.265e+03
3.225e+03 3.238e+03
3.301e+03 3.288e+03
3.400e+03 3.390e+03
3.200e+03 3.199e+03
3.301e+03 3.306e+03
3.314e+03 3.308e+03
3.298e+03 3.310e+03
3.267e+03 3.264e+03
3.344e+03 3.344e+03
3.279e+03 3.274e+03
3.201e+03 3.205e+03
3.403e+03 3.406e+03
3.462e+03 3.461e+03
3.246e+03 3.250e+03
3.279e+03 3.280e+03
3.322e+03 3.327e+03
3.271e+03 3.274e+03
3.325e+03 3.308e+03
3.311e+03 3.329e+03
3.111e+03 3.105e+03
3.249e+03 3.244e+03
3.276e+03 3.275e+03
3.415e+03 3.419e+03
3.306e+03 3.303e+03
3.388e+03 3.390e+03
3.246e+03 3.249e+03
3.355e+03 3.358e+03
3.295e+03 3.284e+03
3.285e+03 3.294e+03
3.270e+03 3.272e+03
3.247e+03 3.244e+03
3.242e+03 3.239e+03
3.240e+03 3.234e+03
3.234e+03 3.236e+03
3.399e+03 3.401e+03
3.350e+03 3.358e+03
3.189e+03 3.201e+03
3.267e+03 3.263e+03
3.264e+03 3.253e+03
3.260e+03 3.263e+03
3.262e+03 3.263e+03
3.217e+03 3.215e+03
3.256e+03 3.252e+03
3.282e+03 3.287e+03
3.367e+03 3.363e+03
3.334e+03 3.335e+03
3.239e+03 3.243e+03
3.276e+03 3.265e+03
3.232e+03 3.242e+03
3.164e+03 3.171e+03
3.294e+03 3.276e+03
3.302e+03 3.311e+03
3.319e+03 3.317e+03
3.321e+03 3.322e+03
3.227e+03 3.224e+03
3.355e+03 3.359e+03
3.177e+03 3.178e+03
3.362e+03 3.352e+03
3.338e+03 3.344e+03
3.354e+03 3.351e+03
3.264e+03 3.266e+03
3.287e+03 3.286e+03
3.323e+03 3.325e+03
3.297e+03 3.298e+03
3.183e+03 3.191e+03
3.177e+03 3.167e+03
3.223e+03 3.230e+03
3.229e+03 3.224e+03
3.281e+03 3.292e+03
3.258e+03 3.244e+03
3.236e+03 3.240e+03
3.288e+03 3.293e+03
3.354e+03 3.345e+03
3.412e+03 3.410e+03
3.296e+03 3.300e+03
3.357e+03 3.359e+03
3.295e+03 3.288e+03
3.328e+03 3.324e+03
3.362e+03 3.365e+03
3.274e+03 3.287e+03
3.234e+03 3.228e+03
3.320e+03 3.328e+03
3.197e+03 3.194e+03
3.254e+03 3.260e+03
3.346e+03 3.334e+03
3.274e+03 3.262e+03
3.278e+03 3.294e+03
3.334e+03 3.336e+03
3.288e+03 3.289e+03
3.228e+03 3.247e+03
3.367e+03 3.354e+03
3.290e+03 3.294e+03
3.282e+03 3.289e+03
3.154e+03 3.142e+03
3.178e+03 3.182e+03
3.418e+03 3.421e+03
3.283e+03 3.282e+03
3.263e+03 3.256e+03
3.331e+03 3.331e+03
3.339e+03 3.339e+03
3.354e+03 3.359e+03
3.181e+03 3.184e+03
3.219e+03 3.227e+03
3.293e+03 3.274e+03
3.283e+03 3.300e+03
3.236e+03 3.227e+03
3.288e+03 3.286e+03
3.288e+03 3.282e+03
3.340e+03 3.342e+03
3.325e+03 3.334e+03
3.250e+03 3.254e+03
3.302e+03 3.295e+03
3.259e+03 3.253e+03
3.254e+03 3.256e+03
3.305e+03 3.298e+03
3.363e+03 3.364e+03
3.382e+03 3.380e+03
3.381e+03 3.388e+03
3.320e+03 3.309e+03
3.273e+03 3.295e+03
3.324e+03 3.311e+03
3.316e+03 3.316e+03
3.334e+03 3.329e+03
3.281e+03 3.281e+03
3.271e+03 3.280e+03
3.248e+03 3.246e+03
3.295e+03 3.294e+03
3.273e+03 3.279e+03
3.304e+03 3.312e+03
3.297e+03 3.297e+03
3.417e+03 3.402e+03
3.334e+03 3.328e+03
3.295e+03 3.309e+03
3.249e+03 3.234e+03
