# RadGy	HullArea	GeodesicLength
1.1515e+02 3.1826e+05 5.3266e+01
1.1515e+02 3.3223e+05 4.4872e+01
1.1447e+02 3.2863e+05 4.7080e+01
1.1657e+02 3.3896e+05 4.6172e+01
1.1653e+02 3.2917e+05 4.7476e+01
1.1551e+02 3.1673e+05 4.7184e+01
1.1764e+02 3.2665e+05 4.7558e+01
1.1567e+02 3.2687e+05 4.4284e+01
1.1630e+02 3.2952e+05 4.3873e+01
1.1516e+02 3.2560e+05 4.4007e+01
1.1585e+02 3.2387e+05 4.5050e+01
1.1644e+02 3.3931e+05 4.7390e+01
1.1521e+02 3.3304e+05 4.5809e+01
1.1481e+02 3.2770e+05 4.8152e+01
1.1600e+02 3.2892e+05 4.9667e+01
1.1659e+02 3.2849e+05 4.7693e+01
1.1591e+02 3.3659e+05 4.5790e+01
1.1569e+02 3.2658e+05 4.7429e+01
1.1664e+02 3.5835e+05 5.1918e+01
1.1512e+02 3.2840e+05 4.7619e+01
1.1621e+02 3.2601e+05 4.6708e+01
1.1632e+02 3.2889e+05 4.5494e+01
1.1451e+02 3.1565e+05 4.5711e+01
1.1454e+02 3.2941e+05 4.6118e+01
1.1384e+02 3.1329e+05 4.7730e+01
1.1548e+02 3.2709e+05 4.6565e+01
1.1497e+02 3.2295e+05 4.7235e+01
1.1671e+02 3.4087e+05 4.4498e+01
1.1606e+02 3.3550e+05 4.5614e+01
1.1520e+02 3.2029e+05 4.7841e+01
1.1541e+02 3.2863e+05 4.6901e+01
1.1437e+02 3.2361e+05 4.8780e+01
1.1518e+02 3.2104e+05 4.5833e+01
1.1723e+02 3.3126e+05 4.6968e+01
1.1605e+02 3.2623e+05 4.5762e+01
1.1576e+02 3.3663e+05 4.5750e+01
1.1619e+02 3.3271e+05 4.5771e+01
1.1658e+02 3.3135e+05 4.6083e+01
1.1455e+02 3.2654e+05 4.8202e+01
1.1746e+02 3.3801e+05 4.7190e+01
1.1459e+02 3.2759e+05 4.9451e+01
1.1386e+02 3.3323e+05 4.4683e+01
1.1393e+02 3.2525e+05 4.7810e+01
1.1594e+02 3.3217e+05 4.6662e+01
1.1643e+02 3.4073e+05 5.1975e+01
1.1556e+02 3.2107e+05 4.7052e+01
1.1412e+02 3.2099e+05 4.5876e+01
1.1616e+02 3.2633e+05 4.5876e+01
1.1571e+02 3.2933e+05 4.5913e+01
1.1768e+02 3.4818e+05 4.8238e+01
1.1440e+02 3.1739e+05 4.6910e+01
1.1572e+02 3.2383e+05 4.6714e+01
1.1579e+02 3.2566e+05 4.5827e+01
1.1553e+02 3.3032e+05 4.6377e+01
1.1504e+02 3.3174e+05 4.6160e+01
1.1485e+02 3.2983e+05 4.6003e+01
1.1454e+02 3.3169e+05 4.9086e+01
1.1573e+02 3.2995e+05 4.5417e+01
1.1544e+02 3.3548e+05 4.5180e+01
1.1523e+02 3.3020e+05 4.4882e+01
1.1461e+02 3.2730e+05 4.7454e+01
1.1447e+02 3.1275e+05 4.7364e+01
1.1509e+02 3.2089e+05 4.8864e+01
1.1683e+02 3.2996e+05 4.7682e+01
1.1660e+02 3.3130e+05 4.9116e+01
1.1642e+02 3.3359e+05 5.0707e+01
1.1605e+02 3.2863e+05 4.9895e+01
1.1661e+02 3.4116e+05 5.0175e+01
1.1734e+02 3.4164e+05 5.0818e+01
1.1497e+02 3.1929e+05 4.9189e+01
1.1506e+02 3.3109e+05 4.5194e+01
1.1468e+02 3.1589e+05 4.5792e+01
1.1576e+02 3.2989e+05 4.7994e+01
1.1430e+02 3.2116e+05 4.6549e+01
1.1408e+02 3.2069e+05 4.5856e+01
1.1575e+02 3.3395e+05 4.8572e+01
1.1587e+02 3.3043e+05 4.8082e+01
1.1577e+02 3.2658e+05 5.6802e+01
1.1571e+02 3.6997e+05 5.9674e+01
1.1617e+02 3.3384e+05 5.0848e+01
1.1433e+02 3.1911e+05 4.8188e+01
1.1382e+02 3.2981e+05 4.6397e+01
1.1553e+02 3.3094e+05 4.9309e+01
1.1633e+02 3.7617e+05 4.9091e+01
1.1566e+02 3.3125e+05 4.6942e+01
1.1505e+02 3.3361e+05 4.7823e+01
1.1513e+02 3.2946e+05 5.3791e+01
1.1527e+02 3.4037e+05 4.8596e+01
1.1454e+02 3.3953e+05 4.7383e+01
1.1496e+02 3.3267e+05 4.6596e+01
1.1483e+02 3.3412e+05 4.9170e+01
1.1532e+02 3.3767e+05 4.5595e+01
1.1489e+02 3.3137e+05 4.6134e+01
1.1554e+02 3.2832e+05 4.6497e+01
1.1631e+02 3.4161e+05 4.7632e+01
1.1574e+02 3.2392e+05 4.7597e+01
1.1465e+02 3.1855e+05 4.6783e+01
1.1671e+02 3.3316e+05 4.8658e+01
1.1788e+02 3.5248e+05 4.6960e+01
1.1746e+02 3.3620e+05 4.6642e+01
