# Dist_from_COM	Sticker_Saturation
1.0894e+02 1.0000e+00
1.1389e+02 1.0000e+00
9.2697e+01 1.0000e+00
1.1074e+02 1.0000e+00
9.3070e+01 1.0000e+00
1.1551e+02 1.0000e+00
9.7383e+01 8.0000e-01
8.8520e+01 1.0000e+00
1.0049e+02 1.0000e+00
9.4824e+01 1.0000e+00
7.5288e+01 1.0000e+00
1.1242e+02 1.0000e+00
1.1390e+02 1.0000e+00
8.2954e+01 1.0000e+00
8.5910e+01 1.0000e+00
9.2329e+01 1.0000e+00
1.0746e+02 1.0000e+00
8.5521e+01 1.0000e+00
7.4891e+01 1.0000e+00
8.1574e+01 1.0000e+00
1.1002e+02 1.0000e+00
1.1171e+02 1.0000e+00
1.0785e+02 1.0000e+00
3.5261e+01 1.0000e+00
9.4652e+01 1.0000e+00
5.3713e+01 1.0000e+00
1.0468e+02 1.0000e+00
1.0692e+02 1.0000e+00
7.5797e+01 1.0000e+00
9.5071e+01 1.0000e+00
4.1710e+01 1.0000e+00
3.8405e+01 1.0000e+00
4.3946e+01 1.0000e+00
8.0669e+01 1.0000e+00
6.6104e+01 1.0000e+00
7.1930e+01 1.0000e+00
7.7422e+01 1.0000e+00
6.3466e+01 1.0000e+00
8.5750e+01 1.0000e+00
3.8260e+01 1.0000e+00
8.3156e+01 1.0000e+00
6.8059e+01 1.0000e+00
3.5225e+01 1.0000e+00
6.2117e+01 1.0000e+00
1.3011e+02 1.0000e+00
1.0216e+02 1.0000e+00
1.1486e+02 1.0000e+00
1.3004e+02 1.0000e+00
1.0428e+02 1.0000e+00
1.0140e+02 1.0000e+00
9.7354e+01 8.0000e-01
1.2389e+02 8.0000e-01
9.8509e+01 1.0000e+00
1.0561e+02 1.0000e+00
9.5450e+01 8.0000e-01
1.0960e+02 1.0000e+00
1.0322e+02 1.0000e+00
9.9047e+01 1.0000e+00
7.8139e+01 1.0000e+00
1.1432e+02 1.0000e+00
9.3354e+01 1.0000e+00
1.0081e+02 1.0000e+00
8.6594e+01 1.0000e+00
9.0448e+01 1.0000e+00
5.2687e+01 1.0000e+00
7.7683e+01 1.0000e+00
9.9886e+01 1.0000e+00
1.1404e+02 1.0000e+00
4.9725e+01 1.0000e+00
4.4206e+01 1.0000e+00
7.8770e+01 1.0000e+00
7.7255e+01 1.0000e+00
8.5544e+01 1.0000e+00
3.0617e+01 1.0000e+00
8.7639e+01 1.0000e+00
3.6648e+01 1.0000e+00
9.8775e+01 1.0000e+00
9.0470e+01 1.0000e+00
6.2450e+01 1.0000e+00
7.9467e+01 1.0000e+00
1.2426e+02 1.0000e+00
1.2386e+02 1.0000e+00
9.5026e+01 1.0000e+00
9.0634e+01 1.0000e+00
1.0262e+02 1.0000e+00
1.0651e+02 1.0000e+00
1.0317e+02 1.0000e+00
7.3865e+01 1.0000e+00
1.0125e+02 1.0000e+00
5.9281e+01 1.0000e+00
7.2451e+01 1.0000e+00
1.0952e+02 1.0000e+00
1.0378e+02 1.0000e+00
9.4242e+01 8.0000e-01
