# time mean_CV Std_CV
0.0000e+00 1.7139e+02 5.3759e-02
1.2500e-03 1.7104e+02 8.0877e-01
2.5000e-03 1.7079e+02 1.2274e+00
3.7500e-03 1.7044e+02 1.5974e+00
5.0000e-03 1.7066e+02 1.6950e+00
6.2500e-03 1.7019e+02 1.9711e+00
7.5000e-03 1.6955e+02 1.8377e+00
8.7500e-03 1.6937e+02 2.2317e+00
1.0000e-02 1.6930e+02 2.0070e+00
1.1250e-02 1.6914e+02 1.6173e+00
1.2500e-02 1.6893e+02 1.8881e+00
1.3750e-02 1.6885e+02 2.2875e+00
1.5000e-02 1.6861e+02 2.4450e+00
1.6250e-02 1.6824e+02 2.2535e+00
1.7500e-02 1.6805e+02 2.3526e+00
1.8750e-02 1.6744e+02 2.4557e+00
2.0000e-02 1.6735e+02 2.1276e+00
2.1250e-02 1.6754e+02 1.4821e+00
2.2500e-02 1.6722e+02 1.4668e+00
2.3750e-02 1.6706e+02 1.5435e+00
2.5000e-02 1.6670e+02 1.4726e+00
2.6250e-02 1.6629e+02 1.1207e+00
2.7500e-02 1.6641e+02 9.3920e-01
2.8750e-02 1.6595e+02 1.1976e+00
3.0000e-02 1.6599e+02 1.7738e+00
3.1250e-02 1.6541e+02 1.3496e+00
3.2500e-02 1.6522e+02 1.3588e+00
3.3750e-02 1.6543e+02 1.4104e+00
3.5000e-02 1.6513e+02 1.3174e+00
3.6250e-02 1.6475e+02 1.2906e+00
3.7500e-02 1.6458e+02 1.2678e+00
3.8750e-02 1.6402e+02 1.5343e+00
4.0000e-02 1.6360e+02 1.7368e+00
4.1250e-02 1.6341e+02 1.9763e+00
4.2500e-02 1.6298e+02 1.8463e+00
4.3750e-02 1.6254e+02 1.8200e+00
4.5000e-02 1.6193e+02 1.7795e+00
4.6250e-02 1.6178e+02 1.9371e+00
4.7500e-02 1.6148e+02 1.7759e+00
4.8750e-02 1.6139e+02 1.9469e+00
5.0000e-02 1.6088e+02 2.1925e+00
5.1250e-02 1.6091e+02 2.2328e+00
5.2500e-02 1.6091e+02 2.0464e+00
5.3750e-02 1.6057e+02 2.1503e+00
5.5000e-02 1.6033e+02 1.9068e+00
5.6250e-02 1.5947e+02 1.9252e+00
5.7500e-02 1.5866e+02 1.8796e+00
5.8750e-02 1.5843e+02 1.7596e+00
6.0000e-02 1.5762e+02 1.4848e+00
6.1250e-02 1.5726e+02 1.3275e+00
6.2500e-02 1.5653e+02 1.3060e+00
6.3750e-02 1.5646e+02 1.0394e+00
6.5000e-02 1.5626e+02 7.7388e-01
6.6250e-02 1.5561e+02 1.2773e+00
6.7500e-02 1.5522e+02 1.2784e+00
6.8750e-02 1.5531e+02 1.7042e+00
7.0000e-02 1.5515e+02 1.8769e+00
7.1250e-02 1.5473e+02 2.2435e+00
7.2500e-02 1.5421e+02 2.5242e+00
7.3750e-02 1.5424e+02 2.6824e+00
7.5000e-02 1.5406e+02 2.6572e+00
7.6250e-02 1.5424e+02 3.2150e+00
7.7500e-02 1.5460e+02 2.6127e+00
7.8750e-02 1.5432e+02 2.7819e+00
8.0000e-02 1.5361e+02 2.6156e+00
8.1250e-02 1.5343e+02 2.9737e+00
8.2500e-02 1.5314e+02 3.0820e+00
8.3750e-02 1.5305e+02 2.9404e+00
8.5000e-02 1.5300e+02 3.1340e+00
8.6250e-02 1.5257e+02 2.9585e+00
8.7500e-02 1.5211e+02 3.2595e+00
8.8750e-02 1.5193e+02 3.0267e+00
9.0000e-02 1.5155e+02 3.5149e+00
9.1250e-02 1.5088e+02 3.3619e+00
9.2500e-02 1.5034e+02 3.7962e+00
9.3750e-02 1.5034e+02 3.5980e+00
9.5000e-02 1.4987e+02 3.5889e+00
9.6250e-02 1.4928e+02 3.5516e+00
9.7500e-02 1.4921e+02 3.5538e+00
9.8750e-02 1.4892e+02 3.5707e+00
1.0000e-01 1.4821e+02 3.3028e+00
1.0125e-01 1.4814e+02 2.9906e+00
1.0250e-01 1.4791e+02 2.9139e+00
1.0375e-01 1.4737e+02 2.8436e+00
1.0500e-01 1.4724e+02 3.0565e+00
1.0625e-01 1.4719e+02 3.2820e+00
1.0750e-01 1.4683e+02 2.9884e+00
1.0875e-01 1.4674e+02 3.1938e+00
1.1000e-01 1.4655e+02 3.5230e+00
1.1125e-01 1.4594e+02 3.2392e+00
1.1250e-01 1.4510e+02 3.6093e+00
1.1375e-01 1.4458e+02 3.5135e+00
1.1500e-01 1.4441e+02 3.0552e+00
1.1625e-01 1.4414e+02 3.1989e+00
1.1750e-01 1.4423e+02 3.3785e+00
1.1875e-01 1.4428e+02 3.2032e+00
1.2000e-01 1.4396e+02 3.3473e+00
1.2125e-01 1.4387e+02 3.5704e+00
1.2250e-01 1.4354e+02 3.5050e+00
1.2375e-01 1.4267e+02 3.5647e+00
1.2500e-01 1.4217e+02 3.6266e+00
1.2625e-01 1.4159e+02 3.5361e+00
1.2750e-01 1.4110e+02 3.4854e+00
1.2875e-01 1.4097e+02 3.5051e+00
1.3000e-01 1.4038e+02 3.5140e+00
1.3125e-01 1.4017e+02 3.3689e+00
1.3250e-01 1.3943e+02 3.7295e+00
1.3375e-01 1.3953e+02 3.7360e+00
1.3500e-01 1.3959e+02 3.3364e+00
1.3625e-01 1.3977e+02 3.3357e+00
1.3750e-01 1.3953e+02 3.4029e+00
1.3875e-01 1.3875e+02 2.8990e+00
1.4000e-01 1.3868e+02 2.8151e+00
1.4125e-01 1.3854e+02 2.5408e+00
1.4250e-01 1.3811e+02 2.5259e+00
1.4375e-01 1.3795e+02 2.7543e+00
1.4500e-01 1.3716e+02 2.7633e+00
1.4625e-01 1.3718e+02 2.6416e+00
1.4750e-01 1.3698e+02 2.8308e+00
1.4875e-01 1.3665e+02 2.5435e+00
1.5000e-01 1.3664e+02 2.9054e+00
1.5125e-01 1.3633e+02 2.9117e+00
1.5250e-01 1.3628e+02 3.0681e+00
1.5375e-01 1.3597e+02 2.9191e+00
1.5500e-01 1.3609e+02 2.9904e+00
1.5625e-01 1.3562e+02 3.1900e+00
1.5750e-01 1.3568e+02 3.4288e+00
1.5875e-01 1.3498e+02 3.7380e+00
1.6000e-01 1.3453e+02 3.5986e+00
1.6125e-01 1.3495e+02 3.5908e+00
1.6250e-01 1.3444e+02 3.3220e+00
1.6375e-01 1.3423e+02 3.2831e+00
1.6500e-01 1.3370e+02 3.5761e+00
1.6625e-01 1.3343e+02 3.8765e+00
1.6750e-01 1.3264e+02 3.7225e+00
1.6875e-01 1.3249e+02 3.2831e+00
1.7000e-01 1.3223e+02 3.4024e+00
1.7125e-01 1.3210e+02 3.2587e+00
1.7250e-01 1.3219e+02 3.0061e+00
1.7375e-01 1.3187e+02 3.1466e+00
1.7500e-01 1.3130e+02 3.1488e+00
1.7625e-01 1.3120e+02 3.2404e+00
1.7750e-01 1.3089e+02 3.1304e+00
1.7875e-01 1.3052e+02 3.0017e+00
1.8000e-01 1.3022e+02 2.8842e+00
1.8125e-01 1.2968e+02 2.9076e+00
1.8250e-01 1.2941e+02 3.3544e+00
1.8375e-01 1.2948e+02 3.3887e+00
1.8500e-01 1.2955e+02 3.4392e+00
1.8625e-01 1.2930e+02 3.5425e+00
1.8750e-01 1.2887e+02 3.5791e+00
1.8875e-01 1.2863e+02 3.5079e+00
1.9000e-01 1.2828e+02 3.4833e+00
1.9125e-01 1.2787e+02 3.2381e+00
1.9250e-01 1.2777e+02 3.4426e+00
1.9375e-01 1.2745e+02 3.2531e+00
1.9500e-01 1.2721e+02 3.1923e+00
1.9625e-01 1.2672e+02 3.6521e+00
1.9750e-01 1.2635e+02 3.5705e+00
1.9875e-01 1.2614e+02 3.5873e+00
2.0000e-01 1.2606e+02 4.0420e+00
2.0125e-01 1.2553e+02 3.9355e+00
2.0250e-01 1.2579e+02 4.3491e+00
2.0375e-01 1.2545e+02 4.3220e+00
2.0500e-01 1.2500e+02 3.7841e+00
2.0625e-01 1.2515e+02 4.2438e+00
2.0750e-01 1.2457e+02 4.0246e+00
2.0875e-01 1.2415e+02 4.3287e+00
2.1000e-01 1.2397e+02 4.5985e+00
2.1125e-01 1.2389e+02 4.3623e+00
2.1250e-01 1.2343e+02 4.4608e+00
2.1375e-01 1.2271e+02 4.4427e+00
2.1500e-01 1.2249e+02 4.0805e+00
2.1625e-01 1.2306e+02 4.2830e+00
2.1750e-01 1.2230e+02 4.3694e+00
2.1875e-01 1.2228e+02 4.5416e+00
2.2000e-01 1.2236e+02 4.2139e+00
2.2125e-01 1.2221e+02 4.1295e+00
2.2250e-01 1.2185e+02 4.3545e+00
2.2375e-01 1.2173e+02 4.5821e+00
2.2500e-01 1.2186e+02 4.5404e+00
2.2625e-01 1.2166e+02 4.0789e+00
2.2750e-01 1.2147e+02 3.6759e+00
2.2875e-01 1.2090e+02 3.9012e+00
2.3000e-01 1.2065e+02 3.9337e+00
2.3125e-01 1.2055e+02 4.2538e+00
2.3250e-01 1.2045e+02 4.7641e+00
2.3375e-01 1.2034e+02 4.8831e+00
2.3500e-01 1.1996e+02 4.3160e+00
2.3625e-01 1.1980e+02 4.1080e+00
2.3750e-01 1.1950e+02 3.8828e+00
