# ColVar Mean_PMF Std_PMF
5.0000e-01 6.4954e+00 7.0185e-02
1.5000e+00 6.4954e+00 7.0185e-02
2.5000e+00 6.4954e+00 7.0185e-02
3.5000e+00 6.4954e+00 7.0185e-02
4.5000e+00 6.4954e+00 7.0185e-02
5.5000e+00 6.4954e+00 7.0185e-02
6.5000e+00 6.4954e+00 7.0185e-02
7.5000e+00 6.4954e+00 7.0185e-02
8.5000e+00 6.4954e+00 7.0185e-02
9.5000e+00 6.4954e+00 7.0185e-02
1.0500e+01 6.4954e+00 7.0185e-02
1.1500e+01 6.4954e+00 7.0185e-02
1.2500e+01 6.4954e+00 7.0185e-02
1.3500e+01 6.4954e+00 7.0185e-02
1.4500e+01 6.4954e+00 7.0185e-02
1.5500e+01 6.4954e+00 7.0185e-02
1.6500e+01 6.4954e+00 7.0185e-02
1.7500e+01 6.4954e+00 7.0185e-02
1.8500e+01 6.4954e+00 7.0185e-02
1.9500e+01 6.4954e+00 7.0185e-02
2.0500e+01 6.4954e+00 7.0185e-02
2.1500e+01 6.4954e+00 7.0185e-02
2.2500e+01 6.4954e+00 7.0185e-02
2.3500e+01 6.4954e+00 7.0185e-02
2.4500e+01 6.4954e+00 7.0185e-02
2.5500e+01 6.4954e+00 7.0185e-02
2.6500e+01 6.4954e+00 7.0185e-02
2.7500e+01 6.4954e+00 7.0185e-02
2.8500e+01 6.4954e+00 7.0185e-02
2.9500e+01 6.4954e+00 7.0185e-02
3.0500e+01 6.4954e+00 7.0185e-02
3.1500e+01 6.4954e+00 7.0185e-02
3.2500e+01 6.4954e+00 7.0185e-02
3.3500e+01 6.4954e+00 7.0185e-02
3.4500e+01 6.4954e+00 7.0185e-02
3.5500e+01 6.4954e+00 7.0185e-02
3.6500e+01 6.4954e+00 7.0185e-02
3.7500e+01 6.4954e+00 7.0185e-02
3.8500e+01 6.4954e+00 7.0185e-02
3.9500e+01 6.4954e+00 7.0185e-02
4.0500e+01 6.4954e+00 7.0185e-02
4.1500e+01 6.4954e+00 7.0185e-02
4.2500e+01 6.4954e+00 7.0185e-02
4.3500e+01 6.4954e+00 7.0185e-02
4.4500e+01 6.4954e+00 7.0185e-02
4.5500e+01 6.4954e+00 7.0185e-02
4.6500e+01 6.4954e+00 7.0185e-02
4.7500e+01 6.4954e+00 7.0185e-02
4.8500e+01 6.4954e+00 7.0185e-02
4.9500e+01 6.4954e+00 7.0185e-02
5.0500e+01 6.4954e+00 7.0185e-02
5.1500e+01 6.4954e+00 7.0185e-02
5.2500e+01 6.4954e+00 7.0185e-02
5.3500e+01 6.4954e+00 7.0185e-02
5.4500e+01 6.4954e+00 7.0185e-02
5.5500e+01 6.4954e+00 7.0185e-02
5.6500e+01 6.4954e+00 7.0185e-02
5.7500e+01 6.4954e+00 7.0185e-02
5.8500e+01 6.4954e+00 7.0185e-02
5.9500e+01 6.4954e+00 7.0185e-02
6.0500e+01 6.4954e+00 7.0185e-02
6.1500e+01 6.4954e+00 7.0185e-02
6.2500e+01 6.4954e+00 7.0185e-02
6.3500e+01 6.4954e+00 7.0185e-02
6.4500e+01 6.4954e+00 7.0185e-02
6.5500e+01 6.4954e+00 7.0185e-02
6.6500e+01 6.4954e+00 7.0185e-02
6.7500e+01 6.4954e+00 7.0185e-02
6.8500e+01 6.4954e+00 7.0185e-02
6.9500e+01 6.4954e+00 7.0185e-02
7.0500e+01 6.4954e+00 7.0185e-02
7.1500e+01 6.4954e+00 7.0185e-02
7.2500e+01 6.4954e+00 7.0185e-02
7.3500e+01 6.4954e+00 7.0185e-02
7.4500e+01 6.4954e+00 7.0185e-02
7.5500e+01 6.4954e+00 7.0185e-02
7.6500e+01 6.4954e+00 7.0185e-02
7.7500e+01 6.4954e+00 7.0185e-02
7.8500e+01 6.4954e+00 7.0185e-02
7.9500e+01 6.4954e+00 7.0185e-02
8.0500e+01 6.4954e+00 7.0185e-02
8.1500e+01 6.4954e+00 7.0185e-02
8.2500e+01 6.4954e+00 7.0185e-02
8.3500e+01 6.4954e+00 7.0185e-02
8.4500e+01 6.4954e+00 7.0185e-02
8.5500e+01 6.4954e+00 7.0185e-02
8.6500e+01 6.4954e+00 7.0185e-02
8.7500e+01 6.4954e+00 7.0185e-02
8.8500e+01 6.4954e+00 7.0185e-02
8.9500e+01 6.4954e+00 7.0185e-02
9.0500e+01 6.4954e+00 7.0208e-02
9.1500e+01 6.4594e+00 9.9141e-02
9.2500e+01 5.4679e+00 1.0444e+00
9.3500e+01 2.8791e+00 5.7481e-01
9.4500e+01 1.2787e+00 2.3847e-01
9.5500e+01 6.5329e-01 2.2820e-01
9.6500e+01 2.1292e-01 1.5007e-01
9.7500e+01 8.0915e-02 9.7598e-02
9.8500e+01 3.1052e-02 3.9310e-02
9.9500e+01 3.2281e-01 1.3563e-01
1.0050e+02 6.6061e-01 2.0217e-01
1.0150e+02 1.0544e+00 2.7214e-01
1.0250e+02 1.5668e+00 4.8181e-01
1.0350e+02 1.9211e+00 6.1077e-01
1.0450e+02 2.1058e+00 3.1074e-01
1.0550e+02 2.0157e+00 2.5770e-01
1.0650e+02 2.0947e+00 1.7376e-01
1.0750e+02 2.2776e+00 1.4411e-01
1.0850e+02 2.3615e+00 1.6319e-01
1.0950e+02 2.3225e+00 4.2631e-01
1.1050e+02 2.6891e+00 4.1334e-01
1.1150e+02 2.3806e+00 3.6967e-01
1.1250e+02 2.7413e+00 5.3756e-01
1.1350e+02 2.6536e+00 2.1483e-01
1.1450e+02 2.6648e+00 2.9824e-01
1.1550e+02 2.4864e+00 2.2485e-01
1.1650e+02 2.6415e+00 2.7521e-01
1.1750e+02 2.9486e+00 2.3854e-01
1.1850e+02 2.7073e+00 3.6326e-01
1.1950e+02 2.8064e+00 3.0722e-01
1.2050e+02 2.8898e+00 3.4862e-01
1.2150e+02 2.9913e+00 2.1294e-01
1.2250e+02 2.9854e+00 3.3088e-01
1.2350e+02 2.6957e+00 1.1242e-01
1.2450e+02 2.7251e+00 2.6151e-01
1.2550e+02 2.5989e+00 4.3195e-01
1.2650e+02 2.7118e+00 3.5856e-01
1.2750e+02 2.8429e+00 1.6866e-01
1.2850e+02 2.7950e+00 2.0133e-01
1.2950e+02 2.5648e+00 2.8301e-01
1.3050e+02 2.8255e+00 2.6022e-01
1.3150e+02 2.6605e+00 1.0206e-01
1.3250e+02 2.8726e+00 3.7868e-01
1.3350e+02 2.9762e+00 3.4058e-01
1.3450e+02 2.8873e+00 2.1953e-01
1.3550e+02 2.5502e+00 1.9933e-01
1.3650e+02 2.7351e+00 2.5752e-01
1.3750e+02 2.7514e+00 3.3583e-01
1.3850e+02 2.7188e+00 1.2910e-01
1.3950e+02 3.1394e+00 3.7980e-01
1.4050e+02 2.7628e+00 3.8471e-01
1.4150e+02 3.0690e+00 3.9733e-01
1.4250e+02 2.9178e+00 2.2741e-01
1.4350e+02 2.8393e+00 1.7102e-01
1.4450e+02 3.0960e+00 3.9022e-01
1.4550e+02 3.3137e+00 3.7755e-01
1.4650e+02 3.0556e+00 2.1199e-01
1.4750e+02 3.2799e+00 3.5648e-01
1.4850e+02 3.2233e+00 3.1799e-01
1.4950e+02 2.8763e+00 2.6315e-01
1.5050e+02 2.7688e+00 2.8903e-01
1.5150e+02 3.1269e+00 2.7681e-01
1.5250e+02 3.0233e+00 1.7751e-01
1.5350e+02 3.2424e+00 3.5283e-01
1.5450e+02 3.0972e+00 2.5350e-01
1.5550e+02 2.9495e+00 3.9905e-01
1.5650e+02 2.7373e+00 3.6223e-01
1.5750e+02 2.9342e+00 2.8282e-01
1.5850e+02 3.1346e+00 3.2146e-01
1.5950e+02 3.1816e+00 3.0538e-01
1.6050e+02 3.3323e+00 3.0224e-01
1.6150e+02 3.2870e+00 2.5170e-01
1.6250e+02 3.0354e+00 1.9779e-01
1.6350e+02 2.8332e+00 4.3703e-01
1.6450e+02 2.9483e+00 3.7330e-01
1.6550e+02 2.6442e+00 1.8818e-01
1.6650e+02 2.8134e+00 2.7591e-01
1.6750e+02 2.9307e+00 3.1771e-01
1.6850e+02 3.2698e+00 2.4611e-01
1.6950e+02 2.9786e+00 2.9364e-01
1.7050e+02 2.9545e+00 3.1580e-01
1.7150e+02 3.5906e+00 8.0727e-01
1.7250e+02 5.2981e+00 1.3063e+00
1.7350e+02 5.8817e+00 1.1092e+00
1.7450e+02 6.1593e+00 6.1447e-01
1.7550e+02 6.4819e+00 4.9831e-02
1.7650e+02 6.4954e+00 7.0165e-02
1.7750e+02 6.4954e+00 7.0185e-02
1.7850e+02 6.4954e+00 7.0185e-02
1.7950e+02 6.4954e+00 7.0185e-02
1.8050e+02 6.4954e+00 7.0185e-02
1.8150e+02 6.4954e+00 7.0185e-02
1.8250e+02 6.4954e+00 7.0185e-02
1.8350e+02 6.4954e+00 7.0185e-02
1.8450e+02 6.4954e+00 7.0185e-02
1.8550e+02 6.4954e+00 7.0185e-02
1.8650e+02 6.4954e+00 7.0185e-02
