# Time	Mean	Stdev
2.5000e-02 2.7497e+03 5.4094e+01
5.0000e-02 2.5432e+03 4.0723e+01
7.5000e-02 2.4180e+03 6.2954e+01
1.0000e-01 2.2420e+03 5.9114e+01
1.2500e-01 2.0203e+03 1.0119e+02
1.5000e-01 1.8740e+03 6.8015e+01
1.7500e-01 1.7879e+03 7.1299e+01
2.0000e-01 1.6694e+03 4.8332e+01
2.2500e-01 1.4948e+03 1.0780e+02
2.5000e-01 1.4196e+03 1.0277e+02
2.7500e-01 1.2306e+03 8.7013e+01
3.0000e-01 1.1467e+03 1.3186e+02
3.2500e-01 1.0966e+03 1.2538e+02
3.5000e-01 9.9941e+02 1.2557e+02
3.7500e-01 9.4082e+02 8.5465e+01
4.0000e-01 9.1672e+02 1.0514e+02
4.2500e-01 8.7172e+02 1.1620e+02
4.5000e-01 8.5025e+02 8.8931e+01
4.7500e-01 8.4563e+02 9.6487e+01
5.0000e-01 8.2598e+02 9.9608e+01
5.2500e-01 8.2645e+02 8.2616e+01
5.5000e-01 8.3078e+02 8.6303e+01
5.7500e-01 7.8008e+02 7.5192e+01
6.0000e-01 8.0013e+02 5.6872e+01
6.2500e-01 7.8564e+02 9.2543e+01
6.5000e-01 8.1457e+02 1.0052e+02
6.7500e-01 7.2046e+02 7.7011e+01
7.0000e-01 7.1563e+02 1.1794e+02
7.2500e-01 6.9453e+02 1.0433e+02
7.5000e-01 7.0280e+02 1.0135e+02
7.7500e-01 7.3510e+02 1.2671e+02
8.0000e-01 7.0552e+02 4.8047e+01
8.2500e-01 6.9214e+02 1.1537e+02
8.5000e-01 7.3816e+02 1.3332e+02
8.7500e-01 6.2300e+02 9.2388e+01
9.0000e-01 6.7040e+02 1.0662e+02
9.2500e-01 6.4041e+02 3.6989e+01
9.5000e-01 6.6119e+02 6.1180e+01
9.7500e-01 6.5502e+02 5.8080e+01
1.0000e+00 6.9804e+02 3.1575e+01
1.0250e+00 6.1026e+02 9.4844e+01
1.0500e+00 6.5675e+02 7.2632e+01
1.0750e+00 6.4149e+02 3.6415e+01
1.1000e+00 7.0065e+02 5.5874e+01
1.1250e+00 6.6895e+02 8.6728e+01
1.1500e+00 6.5099e+02 5.0234e+01
1.1750e+00 6.4317e+02 7.4758e+01
1.2000e+00 6.3223e+02 6.4344e+01
1.2250e+00 6.5070e+02 6.6484e+01
1.2500e+00 6.6956e+02 7.1468e+01
1.2750e+00 6.7957e+02 6.2103e+01
1.3000e+00 7.0044e+02 7.5355e+01
1.3250e+00 6.5649e+02 3.6162e+01
1.3500e+00 6.7608e+02 7.4773e+01
1.3750e+00 6.8890e+02 9.1249e+01
1.4000e+00 6.7720e+02 5.9240e+01
1.4250e+00 6.8944e+02 5.8739e+01
1.4500e+00 6.8726e+02 7.9883e+01
1.4750e+00 6.5429e+02 7.8803e+01
1.5000e+00 6.5589e+02 8.6272e+01
