# Steps Temp KinEng PotEng Epair Ebond Eangle Bonds
1000000 311.82397962464727925 4646.5107734284229082 2764.8862272822607338 -1612.7736782593044609 1494.2975122706002367 2883.3623932709651854 5118
2000000 312.44484485723904754 4655.7623293721235314 2490.5435709187800057 -1890.0951807712895061 1527.9198942925263509 2852.7188573975427062 5156
3000000 301.29970639111644459 4489.6878471705731499 2323.949800075703024 -2204.4726007056692652 1587.5860096981978131 2940.8363910831744761 5183
4000000 307.88928381451330551 4587.8795979365359017 2199.5248929090903403 -2338.8840899163424183 1523.6183277166073822 3014.7906551088244669 5196
5000000 304.41977078359605002 4536.1801433400269161 1940.5324200246043347 -2513.8765765749062666 1533.1377024021421676 2921.2712941973686611 5205
6000000 309.35299367973976814 4609.6904402782156467 1817.6322760875066251 -2697.4826473560224258 1569.2981910282355784 2945.8167324152936999 5213
7000000 306.96231634812329503 4574.066791351284337 1730.5377564613943377 -2901.5396127635949597 1542.9457705243403325 3089.1315987006491923 5223
8000000 308.52122195129743432 4597.2961519945092732 1671.182844552988854 -2953.9992155373083733 1634.1867229708000195 2990.9953371194978899 5227
9000000 311.78790035779462642 4645.9731537677089364 1378.6710744552847245 -3120.6861427218464087 1543.2254417746999025 2956.1317754024312308 5231
10000000 308.85876125259994751 4602.3258485619298881 1373.6993731281804685 -3164.2366407005238216 1558.5532178897151425 2979.3827959389891475 5244
11000000 310.41952571499859914 4625.5829081955389483 1191.1412533997190621 -3324.8468689000173981 1559.3032718873657814 2956.6848504123699968 5235
12000000 314.5583587930599947 4687.2559472920938788 928.78058586328165802 -3558.0917430478316419 1515.842170392746084 2971.0301585183669886 5250
13000000 308.89757684283449635 4602.9042423673681697 883.43412866457185828 -3588.0573705044321287 1533.9276535144285845 2937.5638456545752888 5248
14000000 312.44221636562031108 4655.7231620359907538 884.6399225057195963 -3617.1753928043017368 1503.7651063610665005 2998.0502089489550599 5243
15000000 305.70036357526248594 4555.2623454529475566 835.70208868865188379 -3656.8188520011899527 1587.5363832301243292 2904.9845574597175073 5246
16000000 308.85362032796274434 4602.2492432869257755 752.89270189231081076 -3726.7677797481192101 1512.3424428626044573 2967.3180387778256772 5249
17000000 313.71225283238965176 4674.6480636185888216 786.57437191458598136 -3701.0532831348764375 1567.4852529297295405 2920.142402119732651 5246
18000000 311.23896143404482473 4637.7933767466220161 874.74967416303775281 -3633.7804951652046839 1572.8657338291548058 2935.6644354990876309 5242
19000000 316.69495778628464677 4719.0935572554617465 835.15393728690355601 -3648.5653534663151731 1536.7945706791665543 2946.9247200740524022 5245
20000000 310.671336498003825 4629.3351581588276531 875.7954704240250976 -3596.0665734275548857 1569.9388124350816724 2901.9232314164983109 5252
21000000 314.64051562957456554 4688.4801720179639233 740.12366398257699984 -3698.441899844940508 1530.1232520146636489 2908.442311812853859 5254
