# time mean_CV Std_CV
0.0000e+00 1.5000e+00 0.0000e+00
1.2500e-03 1.4972e+00 3.5136e-03
2.5000e-03 1.4957e+00 3.5673e-03
3.7500e-03 1.4988e+00 3.4461e-03
5.0000e-03 1.4997e+00 6.1684e-03
6.2500e-03 1.4985e+00 4.1328e-03
7.5000e-03 1.4964e+00 5.2196e-03
8.7500e-03 1.4933e+00 4.1529e-03
1.0000e-02 1.4948e+00 4.9225e-03
1.1250e-02 1.4897e+00 6.0231e-03
1.2500e-02 1.4882e+00 6.7419e-03
1.3750e-02 1.4867e+00 7.1198e-03
1.5000e-02 1.4846e+00 6.4122e-03
1.6250e-02 1.4821e+00 7.5942e-03
1.7500e-02 1.4820e+00 6.3919e-03
1.8750e-02 1.4802e+00 5.8255e-03
2.0000e-02 1.4830e+00 6.0511e-03
2.1250e-02 1.4826e+00 8.0120e-03
2.2500e-02 1.4802e+00 1.0113e-02
2.3750e-02 1.4798e+00 6.9743e-03
2.5000e-02 1.4814e+00 6.9972e-03
2.6250e-02 1.4815e+00 4.2334e-03
2.7500e-02 1.4803e+00 6.4206e-03
2.8750e-02 1.4804e+00 2.6338e-03
3.0000e-02 1.4762e+00 4.1066e-03
3.1250e-02 1.4741e+00 3.0068e-03
3.2500e-02 1.4737e+00 3.0319e-03
3.3750e-02 1.4726e+00 3.1894e-03
3.5000e-02 1.4716e+00 4.4135e-03
3.6250e-02 1.4677e+00 5.0182e-03
3.7500e-02 1.4647e+00 6.0396e-03
3.8750e-02 1.4654e+00 6.9064e-03
4.0000e-02 1.4681e+00 1.2035e-03
4.1250e-02 1.4680e+00 3.9616e-03
4.2500e-02 1.4676e+00 2.1684e-03
4.3750e-02 1.4679e+00 1.3637e-03
4.5000e-02 1.4688e+00 8.3924e-04
4.6250e-02 1.4690e+00 2.1663e-03
4.7500e-02 1.4670e+00 2.8955e-03
4.8750e-02 1.4656e+00 4.5968e-03
5.0000e-02 1.4688e+00 7.4966e-03
5.1250e-02 1.4676e+00 3.7330e-03
5.2500e-02 1.4693e+00 2.7344e-03
5.3750e-02 1.4696e+00 2.8752e-03
5.5000e-02 1.4702e+00 4.6878e-03
5.6250e-02 1.4691e+00 2.0210e-03
5.7500e-02 1.4695e+00 3.7878e-03
5.8750e-02 1.4662e+00 1.8553e-03
6.0000e-02 1.4663e+00 1.4971e-03
6.1250e-02 1.4641e+00 3.2710e-03
6.2500e-02 1.4654e+00 4.0439e-03
6.3750e-02 1.4657e+00 7.2238e-03
6.5000e-02 1.4640e+00 7.9676e-03
6.6250e-02 1.4686e+00 7.3879e-03
6.7500e-02 1.4683e+00 6.4116e-03
6.8750e-02 1.4666e+00 6.2770e-03
7.0000e-02 1.4655e+00 5.1228e-03
7.1250e-02 1.4641e+00 6.3331e-03
7.2500e-02 1.4627e+00 5.8344e-03
7.3750e-02 1.4644e+00 8.4582e-03
7.5000e-02 1.4620e+00 8.8616e-03
7.6250e-02 1.4616e+00 8.2825e-03
7.7500e-02 1.4584e+00 9.0050e-03
7.8750e-02 1.4572e+00 8.2837e-03
8.0000e-02 1.4552e+00 1.2797e-02
8.1250e-02 1.4550e+00 9.4180e-03
8.2500e-02 1.4558e+00 1.0024e-02
8.3750e-02 1.4542e+00 1.0499e-02
8.5000e-02 1.4527e+00 1.0858e-02
8.6250e-02 1.4500e+00 1.3179e-02
8.7500e-02 1.4459e+00 1.2228e-02
8.8750e-02 1.4469e+00 1.2905e-02
9.0000e-02 1.4483e+00 1.5220e-02
9.1250e-02 1.4504e+00 1.7178e-02
9.2500e-02 1.4504e+00 1.4446e-02
9.3750e-02 1.4504e+00 1.2426e-02
9.5000e-02 1.4500e+00 1.2317e-02
