# ColVar Mean_PMF Std_PMF
5.0000e-01 5.9789e+00 7.1703e-02
1.5000e+00 5.9789e+00 7.1703e-02
2.5000e+00 5.9789e+00 7.1703e-02
3.5000e+00 5.9789e+00 7.1703e-02
4.5000e+00 5.9789e+00 7.1703e-02
5.5000e+00 5.9789e+00 7.1703e-02
6.5000e+00 5.9789e+00 7.1703e-02
7.5000e+00 5.9789e+00 7.1703e-02
8.5000e+00 5.9789e+00 7.1703e-02
9.5000e+00 5.9789e+00 7.1703e-02
1.0500e+01 5.9789e+00 7.1703e-02
1.1500e+01 5.9789e+00 7.1703e-02
1.2500e+01 5.9789e+00 7.1703e-02
1.3500e+01 5.9789e+00 7.1703e-02
1.4500e+01 5.9789e+00 7.1703e-02
1.5500e+01 5.9789e+00 7.1703e-02
1.6500e+01 5.9789e+00 7.1703e-02
1.7500e+01 5.9789e+00 7.1703e-02
1.8500e+01 5.9789e+00 7.1703e-02
1.9500e+01 5.9789e+00 7.1703e-02
2.0500e+01 5.9789e+00 7.1703e-02
2.1500e+01 5.9789e+00 7.1703e-02
2.2500e+01 5.9789e+00 7.1703e-02
2.3500e+01 5.9789e+00 7.1703e-02
2.4500e+01 5.9789e+00 7.1703e-02
2.5500e+01 5.9789e+00 7.1703e-02
2.6500e+01 5.9789e+00 7.1703e-02
2.7500e+01 5.9789e+00 7.1703e-02
2.8500e+01 5.9789e+00 7.1703e-02
2.9500e+01 5.9789e+00 7.1703e-02
3.0500e+01 5.9789e+00 7.1703e-02
3.1500e+01 5.9789e+00 7.1703e-02
3.2500e+01 5.9789e+00 7.1703e-02
3.3500e+01 5.9789e+00 7.1703e-02
3.4500e+01 5.9789e+00 7.1703e-02
3.5500e+01 5.9789e+00 7.1703e-02
3.6500e+01 5.9789e+00 7.1703e-02
3.7500e+01 5.9789e+00 7.1703e-02
3.8500e+01 5.9789e+00 7.1703e-02
3.9500e+01 5.9789e+00 7.1703e-02
4.0500e+01 5.9789e+00 7.1703e-02
4.1500e+01 5.9789e+00 7.1702e-02
4.2500e+01 5.9742e+00 7.1945e-02
4.3500e+01 5.7780e+00 3.8503e-01
4.4500e+01 5.0168e+00 1.1695e+00
4.5500e+01 3.8368e+00 1.7545e+00
4.6500e+01 3.3098e+00 2.1513e+00
4.7500e+01 3.1083e+00 2.3094e+00
4.8500e+01 2.8949e+00 2.4818e+00
4.9500e+01 2.7198e+00 2.6221e+00
5.0500e+01 2.6201e+00 2.7017e+00
5.1500e+01 2.6177e+00 2.6960e+00
5.2500e+01 2.5531e+00 2.7238e+00
5.3500e+01 2.2365e+00 2.3845e+00
5.4500e+01 1.8432e+00 2.1958e+00
5.5500e+01 1.7882e+00 2.1559e+00
5.6500e+01 1.7269e+00 2.1041e+00
5.7500e+01 1.6458e+00 2.1144e+00
5.8500e+01 1.6732e+00 2.1053e+00
5.9500e+01 1.5743e+00 2.1265e+00
6.0500e+01 1.2281e+00 1.4152e+00
6.1500e+01 8.3647e-01 4.8074e-01
6.2500e+01 7.7042e-01 4.2195e-01
6.3500e+01 7.3743e-01 3.3378e-01
6.4500e+01 8.3973e-01 3.5249e-01
6.5500e+01 8.5297e-01 2.6443e-01
6.6500e+01 6.8425e-01 3.3189e-01
6.7500e+01 6.1218e-01 1.3585e-01
6.8500e+01 4.8188e-01 1.1285e-01
