# Steps Temp KinEng PotEng Epair Ebond Eangle Bonds
1000000 307.54865725386918029 9166.5245399349787476 1245.9502652339651831 -7556.9099143596858994 3072.933468158766118 5729.9267114348849645 10509
2000000 307.981719830816985 9179.4320218741468125 1279.2480414143476537 -7535.1448121176863424 3044.5499084743714775 5769.8429450576632007 10521
3000000 308.63138558786522481 9198.7953875214316213 1203.0567264893179527 -7624.6657448394744279 3127.7136205287442863 5700.0088508000480942 10515
4000000 310.55142913321333253 9256.0225152004477422 1122.5359304611106381 -7645.9974859269996159 3149.7722619694686728 5618.761154418642036 10511
5000000 312.41099763390008093 9311.4471769350766408 1219.4285369896260818 -7625.5270782433126442 3117.6485767016642967 5727.3070385312739745 10498
6000000 313.42090199671935125 9341.5474973443087947 1211.5400546988462338 -7579.5152838691710713 3079.3417555908545182 5711.7135829771632416 10519
7000000 306.66252879245155327 9140.1133750817552936 1197.0943784084047365 -7546.3683197092959745 3098.5626114697292905 5644.9000866479709657 10512
8000000 310.4128396764676836 9251.8918398543792136 1141.4774718027965719 -7680.8169708332552545 3105.7167810838827791 5716.5776615521681379 10515
9000000 306.73107431599919437 9142.1563826153033006 1359.7424235421826779 -7484.943901949451174 3127.7273820638192774 5716.9589434278141198 10502
10000000 310.01341642150754296 9239.9869819333416672 1253.2968178634409924 -7586.2146889382256632 3124.1328861698202672 5715.3786206318463883 10512
11000000 308.97207673351010726 9208.9497278946837469 1226.3020323748864939 -7620.3722542733685259 3143.0328143729229851 5703.6414722753324895 10507
12000000 305.9233449957796438 9118.0819135490783083 1245.9010682303342037 -7500.3156691947642685 3036.1680582688895811 5710.0486791562098006 10515
13000000 309.32832641625151382 9219.5677923282983102 1393.5859804189417446 -7590.7414172423877972 3121.8958432115127835 5862.4315544498176678 10514
14000000 310.04482833492482996 9240.9232177724352368 1061.3936317714887991 -7686.3250486420420202 3090.7712042896646381 5656.9474761238661813 10515
15000000 307.91897138002417478 9177.5617967879079515 1265.3658643320829924 -7506.8614361906984414 3107.0006168352692839 5665.2266836875123772 10499
16000000 310.5159598411838715 9254.9653487061914348 1283.1666180490906299 -7554.1598988399509835 3173.0820875721074117 5664.244429316933747 10508
17000000 311.12014207301911028 9272.9730724405817455 1242.1917277059696971 -7496.9397584591697523 3088.9826127959449877 5650.148873369194007 10502
18000000 306.4026310470941894 9132.3670916742321424 1132.0681789192799442 -7541.4066375869824697 3090.57550643218201 5582.8993100740808586 10515
19000000 308.91587287256589889 9207.2745650922042842 1283.6748625077052566 -7634.9925113646422687 3119.7523991070074771 5798.9149747653391387 10511
20000000 304.86948840470682853 9086.6715917161091056 1129.1932746349366425 -7663.9614544856467546 3108.2453236985411422 5684.9094054220431644 10518
21000000 305.9305815020173327 9118.2975984836284624 1134.37052910747434 -7610.7150317432879092 3047.5809633837402544 5697.5045974670229043 10507
22000000 309.81749446838671247 9234.14750467068734 1047.1954507493487654 -7689.8154831171741534 3054.0416487290299301 5682.9692851374929887 10514
23000000 306.25767949523310563 9128.0467933217678365 1165.2176932785637291 -7694.3820891420509724 3129.6518369144473581 5729.9479455061682529 10507
24000000 311.80677695569005436 9293.4383073018852883 1078.9390326233185533 -7697.5346976688488212 3047.4118844530894421 5729.0618458390781598 10510
25000000 310.29834840017826991 9248.4794136611180875 1201.0503505554577259 -7577.2968437962254029 3139.8173436367715112 5638.5298507149109355 10507
26000000 314.64344567946761799 9377.9855581348128908 1344.7682981240691333 -7523.4888634460639878 3132.8352137616211621 5735.4219478085105948 10511
27000000 307.41330353363576933 9162.4903061029417586 1269.5927895506529239 -7564.6129980285841157 3128.4674262535663729 5705.7383613256697572 10509
28000000 312.82309241746401085 9323.7297112828036916 1079.2861872027494883 -7639.8914308896673901 3018.8577939892056747 5700.3198241032114311 10509
29000000 310.64004051426445585 9258.6635880185676797 1048.6245425348683966 -7767.4507593153484777 3107.9472087817439387 5708.1280930684733903 10510
30000000 310.93851676339687629 9267.5597083485681651 1014.2678436492781202 -7743.1203142638869394 3092.2986798195042866 5665.0894780936605457 10515
31000000 311.52141552415906744 9284.933075680208276 1084.4350457677619488 -7691.2762269178710994 3092.1895370992779135 5683.5217355863551347 10512
32000000 316.87562620771717548 9444.5159659488672332 1088.4597068927878354 -7740.0429985604050671 3024.2404746366373729 5804.2622308165546201 10506
33000000 307.850273175990651 9175.5142385942035617 1128.1097711896779856 -7733.788987475221802 3193.6709444631314909 5668.2278142017676146 10513
34000000 313.41313924810845037 9341.3161276928367442 957.45857448616925467 -7755.4971503050310275 3070.6517270475169425 5642.3039977436828849 10510
35000000 305.08065707446752413 9092.965499193094729 1227.6208621698986008 -7616.9079611380784627 3093.1845761265722103 5751.3442471814050805 10508
36000000 307.79767700130230423 9173.9466033123844682 1094.6230465339283455 -7705.2924416939231378 3114.4879762304017277 5685.427511997448164 10507
37000000 310.69991241265768167 9260.4480771162434394 1228.0729559126168624 -7749.7418008044833186 3165.0664430574665857 5812.7483136596338227 10510
38000000 306.43633729683438105 9133.3717104820370878 1093.7623831755854553 -7689.8140676514149163 3081.99882460586241 5701.5776262211384164 10502
39000000 307.81898745542042661 9174.5817639480228536 1173.7595196787874556 -7704.6297475657356699 3139.3002862763710255 5739.0889809681521001 10516
40000000 312.28652358778987264 9307.7372130924704834 1201.6998311483905582 -7684.8519626208490081 3171.04226282671425 5715.5095309425250889 10510
41000000 306.33429729116386397 9130.3303958998640155 1211.7314886844403645 -7605.0535446332887659 3112.9945922364518083 5703.7904410812761853 10516
42000000 310.75308996505145842 9262.0330404301585077 1246.3707872096370011 -7583.6992755722203583 3112.8830266565282727 5717.1870361253286319 10506
43000000 310.19483298953957728 9245.3941244572761207 1166.5044184397311255 -7681.3224210915905132 3122.0603460087036183 5725.7664935226184753 10511
44000000 310.82925805879608561 9264.3032395807713328 1069.3732912123566621 -7668.0634509639212411 3071.2870639354132436 5666.1496782408648869 10505
45000000 307.10525509331824878 9153.3088854689758591 1147.423621796928046 -7715.0900072253871258 3057.9583463027952348 5804.5552827195197096 10504
46000000 308.47641080766902633 9194.1763456487606163 1227.4627672032065675 -7577.0055777280431357 3063.0979396362426996 5741.3704052950070036 10510
47000000 312.95381125261491206 9327.6258018102071219 1226.9807454353810954 -7702.9051727046517044 3158.4568640874977064 5771.4290540525362303 10509
48000000 304.0804816108567934 9063.1551497892251064 1158.2418019686429034 -7719.3971688250931038 3105.3287104263999936 5772.3102603673360136 10492
49000000 312.72902666859010878 9320.9260703788932005 1103.969684890029157 -7694.3382229343205836 3079.7185346145088261 5718.5893732098411419 10520
50000000 306.77036533562636578 9143.3274561580310547 1390.2061906581768653 -7529.4394514856621754 3115.5157709394825361 5804.1298712043562773 10515
51000000 312.45773838193673555 9312.8402905247075978 1186.3359076132712744 -7679.4087521809287864 3072.8573138036317687 5792.8873459905680647 10515
52000000 305.60385740336505478 9108.5595476177077217 1071.3121830527550173 -7720.24175539900898 3094.5587892129624379 5696.9951492388008774 10493
53000000 308.61010714563258261 9198.161181003872116 1222.2612618911359732 -7590.1808823279470744 3052.0329275677509031 5760.4092166513328266 10517
54000000 309.94395072870679542 9237.9165486450710887 1293.3566207699927872 -7554.2237550695326718 3046.9471357490037917 5800.6332400905212126 10510
55000000 310.81301348516973349 9263.8190681195264915 1266.0332770764196084 -7594.3142254486492675 3090.0881226424380657 5770.2593798826310376 10512
56000000 308.14826495603540479 9184.3959192650600016 1259.5334600917626631 -7504.2746474826963095 3072.8631334779956887 5690.944974096464648 10513
57000000 308.39700439144985467 9191.8096279091969336 1231.5656952588747117 -7600.0471224082557455 3099.4591488753017074 5732.1536687918287498 10516
58000000 307.50252512727473686 9165.1495663802797935 1242.0833372966294519 -7640.5170732714532278 3060.1333568720274343 5822.4670536960547906 10508
59000000 314.69043805278590753 9379.3861714460799703 1181.0714377401957336 -7615.466510900691901 3032.5450690178167861 5763.9928796230706212 10514
60000000 310.16813273651030158 9244.5983202199877269 1247.316824369785536 -7651.6426537334200475 3111.3608306229934897 5787.5986474802120938 10515
61000000 313.17510930764530031 9334.2216168275408563 1305.4097105146661306 -7622.1330479581611144 3118.5768143387313103 5808.965944134097299 10518
62000000 311.85942018249744478 9295.0073449777446513 1048.661575517197889 -7763.0041872536876326 3098.7143779401135362 5712.9513848307706212 10515
63000000 309.878667336218939 9235.970769318204475 958.04771740716660133 -7783.1384633147481509 3034.2184652346868461 5706.9677154872279061 10528
64000000 312.1028867353871874 9302.2638947271225334 1067.9388123941412232 -7679.4294816360870755 3039.2690163568349817 5708.0992776733928622 10507
65000000 311.09966597777980724 9272.3627799711921398 1090.2119847806379767 -7675.2890697022412496 3016.7851186047814736 5748.7159358780982075 10514
66000000 311.8306999096078016 9294.1513338067397854 1100.902830501538574 -7746.531710467314042 3129.8950080551085193 5717.5395329137445515 10511
67000000 311.29159794291922481 9278.0833351644996583 1045.0854148813664324 -7703.9918908213403483 3052.061909333659969 5697.015396369046357 10520
68000000 308.87790511705520657 9206.1429315948498697 1059.1552680434381273 -7795.0205530237262792 3114.8021525967051275 5739.3736684704599611 10507
69000000 307.42013942511431424 9162.6940506666487636 1078.4691374884087054 -7782.6376158714083431 3127.72571892832093 5733.381034431497028 10509
70000000 311.88647777643859627 9295.8137998036818317 1024.7762528461578313 -7761.0219018528696324 3129.5617400272176383 5656.2364146718100528 10509
71000000 312.65395870999844874 9318.6886608881886787 923.90085465033644141 -7864.9824235689457055 3051.0177768652511077 5737.8655013540319487 10517
72000000 308.53023551838043659 9195.7805975937899348 1042.5044815800642937 -7721.4886118976937723 3041.1886748707202059 5722.8044186070383148 10517
73000000 306.32144620769889798 9129.9473678190461214 1037.4381892473579683 -7802.608139088383723 3122.390025200054879 5717.6563031356872671 10522
74000000 308.19514258837148191 9185.7931127076171833 1018.9360784801576756 -7782.320910447735514 3116.822878789169863 5684.4341101387226445 10511
